tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file
2015-1536,Madrid Masters,Clay,56,M,20150503,701,104268,,,Alejandro Falla,L,185.0,COL,31.4,104660,1.0,,Sergiy Stakhovsky,R,193.0,UKR,29.3,6-3 6-2,3,Q1,59.0,0.0,1.0,57.0,42.0,30.0,7.0,9.0,1.0,2.0,3.0,3.0,48.0,30.0,16.0,8.0,8.0,2.0,6.0,118.0,476.0,52.0,894.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,702,106148,,WC,Roberto Carballes Baena,R,183.0,ESP,22.1,104868,13.0,,James Ward,R,190.0,GBR,28.2,6-2 6-4,3,Q1,71.0,3.0,0.0,39.0,28.0,26.0,10.0,9.0,0.0,0.0,4.0,2.0,73.0,50.0,31.0,10.0,9.0,7.0,10.0,194.0,245.0,107.0,503.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,703,105311,2.0,,Joao Sousa,R,185.0,POR,26.0,104273,,,Edouard Roger-Vasselin,R,185.0,FRA,31.4,4-6 6-3 6-3,3,Q1,114.0,1.0,0.0,81.0,54.0,39.0,19.0,14.0,2.0,3.0,3.0,0.0,87.0,60.0,40.0,15.0,14.0,7.0,10.0,56.0,852.0,126.0,432.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,704,105292,14.0,,Alejandro Gonzalez,R,190.0,COL,26.2,104932,,,Kenny De Schepper,L,203.0,FRA,27.9,3-6 7-6(4) 7-6(2),3,Q1,147.0,6.0,3.0,116.0,74.0,49.0,21.0,16.0,8.0,12.0,11.0,4.0,116.0,82.0,54.0,17.0,17.0,8.0,11.0,105.0,507.0,135.0,413.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,705,104386,,WC,Janko Tipsarevic,R,180.0,SRB,30.8,105577,3.0,,Vasek Pospisil,R,193.0,CAN,24.8,6-2 6-4,3,Q1,77.0,1.0,3.0,55.0,32.0,25.0,13.0,9.0,2.0,3.0,6.0,4.0,52.0,22.0,16.0,11.0,9.0,5.0,9.0,528.0,60.0,61.0,815.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,706,106423,12.0,,Thanasi Kokkinakis,R,193.0,AUS,19.0,104970,,,Matteo Viola,R,188.0,ITA,27.8,6-2 6-1,3,Q1,60.0,3.0,1.0,46.0,30.0,22.0,10.0,7.0,3.0,3.0,2.0,2.0,45.0,28.0,13.0,7.0,8.0,3.0,8.0,103.0,516.0,230.0,213.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,707,104593,4.0,,Daniel Gimeno Traver,R,185.0,ESP,29.7,105894,,WC,Javier Marti,R,,ESP,23.3,6-3 6-1,3,Q1,72.0,2.0,0.0,41.0,24.0,15.0,12.0,8.0,0.0,2.0,0.0,1.0,58.0,34.0,15.0,9.0,8.0,6.0,12.0,66.0,726.0,371.0,118.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,708,104947,10.0,,Marsel Ilhan,R,191.0,TUR,27.8,105751,,WC,Roberto Ortega Olmedo,R,168.0,ESP,24.0,6-3 7-5,3,Q1,69.0,3.0,1.0,64.0,47.0,39.0,10.0,11.0,2.0,2.0,3.0,5.0,56.0,31.0,25.0,13.0,10.0,1.0,3.0,84.0,584.0,313.0,150.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,709,104563,,,Luca Vanni,R,198.0,ITA,29.9,104122,5.0,,Carlos Berlocq,R,183.0,ARG,32.2,5-5 RET,3,Q1,46.0,4.0,0.0,41.0,22.0,16.0,9.0,5.0,4.0,5.0,0.0,0.0,25.0,16.0,14.0,4.0,5.0,0.0,1.0,117.0,477.0,102.0,525.0,atp_matches_qual_chall_2015.csv
2015-1536,Madrid Masters,Clay,56,M,20150503,710,103917,,,Nicolas Mahut,R,191.0,FRA,33.2,105154,9.0,,Joao Souza,R,193.0,BRA,26.9,7-6(4) 6-4,3,Q1,105.0,6.0,1.0,64.0,40.0,34.0,16.0,11.0,1.0,1.0,5.0,4.0,85.0,60.0,38.0,15.0,11.0,6.0,7.0,116.0,477.0,78.0,650.0,atp_matches_qual_chall_2015.csv
